Model,Best CV ROC-AUC,Best Parameters
Random_Forest,0.8914,"{'n_estimators': 300, 'min_samples_split': 8, 'min_samples_leaf': 1, 'max_features': 'log2', 'max_depth': 4}"
XGBoost,0.8843,"{'subsample': 0.7, 'n_estimators': 220, 'max_depth': 3, 'learning_rate': 0.01, 'gamma': 0.1, 'colsample_bytree': 1.0}"
LightGBM,0.8887,"{'reg_lambda': 0.0, 'reg_alpha': 1.0, 'num_leaves': 63, 'n_estimators': 120, 'max_depth': 3, 'learning_rate': 0.04}"
CatBoost,0.8977,"{'learning_rate': 0.02, 'l2_leaf_reg': 3, 'iterations': 180, 'depth': 6}"
Logistic_Regression_ElasticNet,0.9001,"{'l1_ratio': 0.5, 'C': 1.0}"
SVM_RBF,0.8972,"{'gamma': 0.01, 'C': 5.0}"
